County,CountyFIPS,Age Group (5-year),Age Sorting Variable,Sex,Total Population 2020,Total Population 2021,Total Population 2022,Total Population 2023,Total Population 2024,Total Population 2025
Clark,11,40-44,18,Male,16767,17579.75,17964.34,18274.98,18575.21,18722.93
Clark,11,40-44,18,Female,17151,17887.21,18280.61,18458.82,18760.71,18840.8
Clark,11,85+,18,Female,4979,4985.71,5021.84,5130.08,5312.78,5561.05
Columbia,13,0-4,1,Male,90.66558319,90.41752523,89.33988139,90.72218285,87.76114295,88.52
Columbia,13,0-4,1,Female,88.65045079,88.3211891,84.32289532,81.75345461,80.50208676,81.08
Columbia,13,9-May,2,Female,73.53979152,73.43434616,77.31966661,82.84153471,86.53545069,88.31
Columbia,13,9-May,2,Male,87.64337178,87.74837788,88.50269712,90.1704985,92.8149591,92.59
Columbia,13,14-Oct,3,Female,101.7469468,96.32705776,88.23658274,81.80882286,77.27503367,77.08
Columbia,13,14-Oct,3,Male,105.7765172,102.7905195,99.68128774,97.34572767,93.78621942,93.6
Columbia,13,15-19,4,Female,102.7543296,105.2077545,103.9732085,106.4817013,103.5888289,99.68
Columbia,13,15-19,4,Male,100.7395527,100.3837794,99.61366753,101.6380516,103.1922048,102.3
Columbia,13,20-24,5,Male,96.70999274,98.86781389,96.13328059,95.9658054,93.94164609,92.41
Columbia,13,20-24,5,Female,86.63603629,89.8248258,87.87276008,89.06710871,92.84989878,94.74
Columbia,13,25-29,6,Male,73.53989228,76.69154985,82.25456282,82.09434722,84.53381656,90.53
Columbia,13,25-29,6,Female,77.5694627,78.81893983,81.48268924,82.20269623,88.44631662,88.84
Columbia,13,30-34,7,Male,81.59905211,80.46787477,81.58369525,83.19851567,87.18837306,83.91
Columbia,13,30-34,7,Female,87.643429,88.31155762,89.68187853,87.68659834,89.00896911,92
Columbia,13,35-39,8,Female,99.73216973,99.8221173,102.3257168,101.6228748,102.6623905,101.39
Columbia,13,35-39,8,Male,105.7765457,103.731324,101.2111226,97.08786713,92.65271193,93.22
Columbia,13,45-49,10,Male,82.60641535,88.02478726,96.78127272,109.8209368,122.1465193,123.59
Columbia,13,45-49,10,Female,92.68039648,92.04030991,92.94578158,95.90541991,99.06818092,106.75
Columbia,13,50-54,11,Female,124.9168857,111.8752809,105.6553091,103.2082396,103.9607217,100.91
Columbia,13,50-54,11,Male,139.0206049,121.9715044,107.8966241,96.91556934,91.531622,89.38
Columbia,13,55-59,12,Female,183.3459516,174.6766431,162.7969552,150.001558,139.3298271,130.16
Columbia,13,55-59,12,Male,162.1907083,157.0428964,153.1131284,145.4392203,132.1151116,121.01
Columbia,13,60-64,13,Male,167.2276707,167.0970627,168.6851695,164.5740686,163.894255,157.29
